Active,For Launch,System,Item ID,Category,Item Name,Name Translation,Description Translation,Rarity,Icon ID,Collection,Coin Price,Premium Price,Dollar Price,Override,Source,Gearbox Pool,In Daily,In Weekly,In Static,Status,Description
TRUE,TRUE,Cosmetic,accessory_aqua_axolotls_flag,Accessory,Aqua Axolotls' Flag,accessory_aqua_axolotls_flag.name,accessory_aqua_axolotls_flag.desc,Epic,mcc:island_cosmetics.accessory.aqua_axolotls_flag,Faction Mastery,---,---, --- ,No Currency,factionReward,none,FALSE,FALSE,FALSE,None,A golden rod with a colored flag depicting the associated faction logo.
TRUE,TRUE,Cosmetic,accessory_banana,Accessory,Banana,accessory_banana.name,accessory_banana.desc,Common,mcc:island_cosmetics.accessory.banana,,938,50, $ 1.00 ,---,parts,genericC,TRUE,TRUE,FALSE,None,A giant banana in your hand.
TRUE,TRUE,Cosmetic,accessory_beam_sword,Accessory,Beam Sword,accessory_beam_sword.name,accessory_beam_sword.desc,Rare,mcc:island_cosmetics.accessory.beam_sword,,"3,656",150, $ 3.00 ,---,accessoryStore,skyBattle,TRUE,TRUE,FALSE,Complete,[You hold in your hand\nA sword that shoots laser beams.]
,TRUE,Cosmetic,,Accessory,Bear Paw,,,Rare,,Animal Instinct,"3,656",150, $ 3.00 ,---,bundle,genericB,TRUE,TRUE,FALSE,None,Stick your hand in a giant bear's paw. The paw fits over your whole hand like a glove.
TRUE,TRUE,Cosmetic,accessory_blue_bats_flag,Accessory,Blue Bats' Flag,accessory_blue_bats_flag.name,accessory_blue_bats_flag.desc,Epic,mcc:island_cosmetics.accessory.blue_bats_flag,Faction Mastery,---,---, --- ,No Currency,factionReward,none,FALSE,FALSE,FALSE,None,A golden rod with a colored flag depicting the associated faction logo.
TRUE,TRUE,Cosmetic,accessory_bone,Accessory,Bone,accessory_bone.name,accessory_bone.desc,Common,mcc:island_cosmetics.accessory.bone,Spooktacular,938,50, $ 1.00 ,---,bundle,hitw,TRUE,TRUE,FALSE,None,[Fetch!]
TRUE,TRUE,Cosmetic,accessory_boombox,Accessory,Boombox,accessory_boombox.name,accessory_boombox.desc,Epic,mcc:island_cosmetics.accessory.boombox,,"8,438",300, $ 6.00 ,---,parts,genericC,TRUE,TRUE,FALSE,None,A boombox
,TRUE,Cosmetic,,Accessory,Bouquet,,,Uncommon,,Garden Variety,"1,406",75, $ 1.50 ,---,accessoryStore,tgttos,TRUE,TRUE,FALSE,None,A collection of flowers including roses.
TRUE,TRUE,Cosmetic,accessory_burger,Accessory,Burger,accessory_burger.name,accessory_burger.desc,Common,mcc:island_cosmetics.accessory.burger,,938,50, $ 1.00 ,---,parts,genericC,TRUE,TRUE,FALSE,Complete,"[Burgers But Fast, on the go!]"
TRUE,TRUE,Cosmetic,accessory_cash_filled_briefcase,Accessory,Cash-Filled Briefcase,accessory_cash_filled_briefcase.name,accessory_cash_filled_briefcase.desc,Uncommon,mcc:island_cosmetics.accessory.cash_filled_briefcase,,"1,406",75, $ 1.50 ,---,parts,genericD,TRUE,TRUE,FALSE,Complete,[Take the money and run!]
,TRUE,Cosmetic,,Accessory,Ceremonial Dagger,,,Common,,,938,50, $ 1.00 ,---,parts,battleBox,TRUE,TRUE,FALSE,None,"A dagger with a gem'd pommel. If possible, held edge-down (reverse grip)."
,TRUE,Cosmetic,,Accessory,Cleaver,,,Uncommon,,,"1,406",75, $ 1.50 ,---,accessoryStore,battleBox,TRUE,TRUE,FALSE,None,Butcher's Cleaver as used by a butcher to carve meat.
TRUE,TRUE,Cosmetic,accessory_coffee_mug,Accessory,Coffee Mug,accessory_coffee_mug.name,accessory_coffee_mug.desc,Rare,mcc:island_cosmetics.accessory.coffee_mug,,"3,656",150, $ 3.00 ,---,bundle,aceRace,TRUE,TRUE,FALSE,None,White mug filled with brown coffee. Steam occasionally wafts up from the cup.
TRUE,TRUE,Cosmetic,accessory_comically_large_spoon,Accessory,Comically Large Spoon,accessory_comically_large_spoon.name,accessory_comically_large_spoon.desc,Common,mcc:island_cosmetics.accessory.comically_large_spoon,,938,50, $ 1.00 ,---,parts,battleBox,TRUE,TRUE,FALSE,Complete,"[It's a spoon, and it's comically large]"
,TRUE,Cosmetic,,Accessory,Complimentary Beverage,,,Special,,,---,---, --- ,No Currency,bundle,none,FALSE,FALSE,FALSE,In Progress,An icee-cup filled with a frosted beverage. Given with one of the Welcome Bundles.
,TRUE,Cosmetic,,Accessory,Crab Claw,,,Rare,,Animal Instinct,"3,656",150, $ 3.00 ,---,bundle,hitw,TRUE,TRUE,FALSE,None,Giant Crab claw replaces your off-hand. It covers your hand entirely.
TRUE,TRUE,Cosmetic,accessory_crowbar,Accessory,Crowbar,accessory_crowbar.name,accessory_crowbar.desc,Uncommon,mcc:island_cosmetics.accessory.crowbar,,"1,406",75, $ 1.50 ,---,parts,tgttos,TRUE,TRUE,FALSE,None,[Wake up and smell the ashes...]
TRUE,TRUE,Cosmetic,accessory_cyan_coyotes_flag,Accessory,Cyan Coyotes' Flag,accessory_cyan_coyotes_flag.name,accessory_cyan_coyotes_flag.desc,Epic,mcc:island_cosmetics.accessory.cyan_coyotes_flag,Faction Mastery,---,---, --- ,No Currency,factionReward,none,FALSE,FALSE,FALSE,None,A golden rod with a colored flag depicting the associated faction logo.
,TRUE,Cosmetic,,Accessory,Dice,,,Rare,,Mineshafts and Magic,"3,656",150, $ 3.00 ,---,accessoryStore,genericA,TRUE,TRUE,FALSE,None,Giant six-sided die held in hand. Rotaes randomly when first equipped to show a different number.
TRUE,TRUE,Cosmetic,accessory_drill_arm,Accessory,Drill Arm,accessory_drill_arm.name,accessory_drill_arm.desc,Epic,mcc:island_cosmetics.accessory.drill_arm,,"8,438",300, $ 6.00 ,---,parts,battleBox,TRUE,TRUE,FALSE,None,My drill (arm) shall pierce the championship!
TRUE,TRUE,Cosmetic,accessory_fairy_wand,Accessory,Fairy Wand,accessory_fairy_wand.name,accessory_fairy_wand.desc,Rare,mcc:island_cosmetics.accessory.fairy_wand,,"3,656",150, $ 3.00 ,---,parts,aceRace,TRUE,TRUE,FALSE,None,Magic wand that mighe be used by a wizard (magic not included). Simple and wooden.
,TRUE,Cosmetic,,Accessory,Fancier Cane,,,Uncommon,,,"1,406",75, $ 1.50 ,---,parts,genericC,TRUE,TRUE,FALSE,None,"Cane with a nice, non-rounded handle."
