Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Rarity,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
FALSE,Cosmetic,,Augment,Super Jump,,,Uncommon,,750,150, $ 3.00 ,---,particleStore,TRUE,TRUE,FALSE,In Progress,A small explosion occurrs at your feet whenever you jump
FALSE,Cosmetic,,Augment,Concentrating,,,Uncommon,,750,150, $ 3.00 ,---,particleStore,TRUE,TRUE,FALSE,In Progress,"When crouching, the player collects energy from the air! (Enchanting table effect)"
FALSE,Cosmetic,,Augment,Off to the Races,,,Uncommon,,750,150, $ 3.00 ,---,particleStore,TRUE,TRUE,FALSE,In Progress,"When you start running, a cloud of dust spawns at your location as you blast off! This only appears when you start running and not as you continue running."
FALSE,Cosmetic,,Augment,Thinking,,,Uncommon,,750,150, $ 3.00 ,---,particleStore,TRUE,TRUE,FALSE,None,"After standing still for 3 seconds, a thought bubble slowly forms above your character. The bubble takes 3 seconds to fully form and lasts 3 seconds before it despawns and the process repeats."
FALSE,Cosmetic,,Augment,Greensprout,,,Rare,,"1,950",300, $ 6.00 ,---,particleStore,TRUE,TRUE,FALSE,None,"When sprinting, flowers spring up in your wake! (Similar to the player's sprinting in the game Okami)"
FALSE,Cosmetic,,Augment,Shooting Star,,,Rare,,"1,950",300, $ 6.00 ,---,particleStore,TRUE,TRUE,FALSE,None,"When falling 3 or more blocks, a red aura surrounds you making you look like a meteor falling from orbit! Wind resistance lines go around your feet to your head. Hitting the ground causes an explosion effect."
FALSE,Cosmetic,,Augment,Cleaver,,,Epic,,"4,500",600, $ 12.00 ,---,particleStore,TRUE,TRUE,FALSE,None,"Occasionally, your left click will cause a Cleave animation to play rather than a simple punch. (1/3 of the time)"
FALSE,Cosmetic,,Augment,Rainbow Trail,,,Epic,,"4,500",600, $ 12.00 ,---,particleStore,TRUE,TRUE,FALSE,None,"When sprinting, leave a bright rainbow trail incridibly similar to that of Nyan Cat"
FALSE,Cosmetic,,Augment,Block of Ice,,,Legendary,,"12,000","1,000", $ 20.00 ,---,particleStore,TRUE,TRUE,FALSE,None,"When stationary for more than 5 seconds, your space is occupied by ice blocks, making you look frozen solid. The blocks break the second you move from your spot."
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
