Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Rarity,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
FALSE,Cosmetic,,Back,Arrows,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,"Several arrows are sticking out of your back, making it look like you were just shot several times."
FALSE,Cosmetic,,Back,Shark Fin,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Triangular shark fin on your back. Will hopefully look pretty cool while you're swimming.
FALSE,Cosmetic,,Back,Graded Exam,,,Uncommon,,375,75, $ 1.50 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Giant paper with black scribbles on it. a graded 'A+' is visible in red on the top-right corner.
FALSE,Cosmetic,,Back,Backpack,,,Uncommon,,375,75, $ 1.50 ,---,accessoryStore,TRUE,TRUE,FALSE,None,A brownish-tan backpack with a red MCC logo stitched into it.
FALSE,Cosmetic,,Back,Jetpack,,,Rare,,975,150, $ 3.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,"A jetpack that, sadly, doesn't function. Identical in appearance to the Jetpack gadget."
FALSE,Cosmetic,,Back,Wooden Sword,,,Rare,,975,150, $ 3.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,A wooden sword is straped to your back. Maybe a leafy twig is sprouting from the sword?
FALSE,Cosmetic,,Back,Sword,,,Rare,,975,150, $ 3.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,An iron sword is strapped to your back. Maybe it has a cool sheath?
FALSE,Cosmetic,,Back,Champion Cape,,,Epic,,"2,250",300, $ 6.00 ,---,accessoryStore,FALSE,FALSE,TRUE,None,A red cape with the Noxcrew logo emblazoned upon it.
FALSE,Cosmetic,,Back,Witcher,,,Epic,,"2,250",300, $ 6.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Two swords are strapped to your back. Both have sheaths and fit diagonally protruding over your right shoulder.
FALSE,Cosmetic,,Back,ELL Cape,,,Legendary,,"7,200",600, $ 12.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,A red/gold (Noxcrew Colors) cape with EpicLandLord's Minecraft character Head in the center. Apartment Upgrade reqard.
FALSE,Cosmetic,,Back,Kitsune,,,Legendary,,"7,200",600, $ 12.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,"A fox tail extending from your character. Every consecutive hour of server time you have this equipped, grow an additional tail (up to 9)."
FALSE,Cosmetic,,Back,Terra Swoop Force Wings,,,Legendary,,"7,200",600, $ 12.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,TSF Wings that have no functionality--but they look like the Terra Swoop Force wings.
FALSE,Cosmetic,,Back,Red Cape,,,Special,,---,---, --- ,No Currency,achievement,FALSE,FALSE,FALSE,None,A classic cape in solid red. Red Rabbit Loyalty reward.
FALSE,Cosmetic,,Back,Orange Cape,,,Special,,---,---, --- ,No Currency,achievement,FALSE,FALSE,FALSE,None,A classic cape in solid orange. Orange Ocelot Loyalty reward.
FALSE,Cosmetic,,Back,Yellow Cape,,,Special,,---,---, --- ,No Currency,achievement,FALSE,FALSE,FALSE,None,A classic cape in solid yellow. Yellow Yak Loyalty reward.
FALSE,Cosmetic,,Back,Green Cape,,,Special,,---,---, --- ,No Currency,achievement,FALSE,FALSE,FALSE,None,A classic cape in solid green. Green Guardian Loyalty reward.
FALSE,Cosmetic,,Back,Lime Cape,,,Special,,---,---, --- ,No Currency,achievement,FALSE,FALSE,FALSE,None,A classic cape in solid lime. Lime Llamas Loyalty reward.
FALSE,Cosmetic,,Back,Purple Cape,,,Special,,---,---, --- ,No Currency,achievement,FALSE,FALSE,FALSE,None,A classic cape in solid purple. Purple Pandas Loyalty reward.
FALSE,Cosmetic,,Back,Pink Cape,,,Special,,---,---, --- ,No Currency,achievement,FALSE,FALSE,FALSE,None,A classic cape in solid pink.Pink Parrots Loyalty reward.
FALSE,Cosmetic,,Back,Blue Cape,,,Special,,---,---, --- ,No Currency,achievement,FALSE,FALSE,FALSE,None,A classic cape in solid blue. Blue Bats Loyalty reward.
FALSE,Cosmetic,,Back,Aqua Cape,,,Special,,---,---, --- ,No Currency,achievement,FALSE,FALSE,FALSE,None,A classic cape in solid aqua. Aqua Axolotyl Loyalty reward.
FALSE,Cosmetic,,Back,Cyan Cape,,,Special,,---,---, --- ,No Currency,achievement,FALSE,FALSE,FALSE,None,A classic cape in solid cyan. Cyan Creepers Loyalty reward.
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
