Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Rarity,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
TRUE,Cosmetic,aqua,Other,Aqua,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Aqua Axolotyl Mascot
TRUE,Cosmetic,blue,Other,Blue,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Blue Bat Mascot
TRUE,Cosmetic,chicken,Other,Chicken,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,A Chicken
TRUE,Cosmetic,clown,Other,Clown,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,A Clown
TRUE,Cosmetic,cyan,Other,Cyan,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Cyan Creeper Mascot
TRUE,Cosmetic,flushed,Other,Flushed,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Flushed Smiley
TRUE,Cosmetic,green,Other,Green,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Green Guardian Mascot
TRUE,Cosmetic,imp,Other,Imp,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Evil Smiley
TRUE,Cosmetic,joy,Other,Joy,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Crying happy Smiley
TRUE,Cosmetic,laughing,Other,Laughing,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Laughing Smiley
TRUE,Cosmetic,lime,Other,Lime,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Lime Llama Mascot
TRUE,Cosmetic,mcc_angry,Other,MCC Angry,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Angry MCC Zombie
TRUE,Cosmetic,mcc_smile,Other,MCC Smile,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Smiling MCC Zombie
TRUE,Cosmetic,orange,Other,Orange,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Orange Ocelot Mascot
TRUE,Cosmetic,pink,Other,Pink,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Pink Parrot Mascot
TRUE,Cosmetic,purple,Other,Purple,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Purple Panda Mascot
TRUE,Cosmetic,red,Other,Red,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Red Rabbit Mascot
TRUE,Cosmetic,scream,Other,Scream,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Scared Smiley
TRUE,Cosmetic,skull,Other,Skull,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Skull
TRUE,Cosmetic,smile,Other,Smile,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Smiley
TRUE,Cosmetic,sunglasses,Other,Sunglasses,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Smiley with Sunglasses
TRUE,Cosmetic,sweat_smile,Other,Sweat Smile,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Sweating Smiley
TRUE,Cosmetic,thumbs_down,Other,Thumbs Down,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Thumbs Down
TRUE,Cosmetic,thumbs_up,Other,Thumbs Up,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Thumbs Up
TRUE,Cosmetic,tongue_out,Other,Tongue Out,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Smiley sticking its Ttongue out
TRUE,Cosmetic,yellow,Other,Yellow,,,Special,,---,---, --- ,No Currency,none,FALSE,FALSE,FALSE,Complete,Yellow Yak Mascot
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
