Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Rarity,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
TRUE,Cosmetic,wardrobe_hair_afro,Head,Afro,wardrobe_hair_afro.name,wardrobe_hair_afro.desc,Uncommon,mcc:island_cosmetics.hair.afro,40,75, $ 1.50 ,---,barberShop,FALSE,FALSE,TRUE,In Progress,My hair A large black mass of curly hair that extends above and around the head without covering the face. (May include a comb on top) [Surprisingly easy to maintain.]
TRUE,Cosmetic,wardrobe_hair_amish,Head,Amish,wardrobe_hair_amish.name,wardrobe_hair_amish.desc,Uncommon,mcc:island_cosmetics.hair.amish,40,75, $ 1.50 ,---,barberShop,FALSE,FALSE,TRUE,In Progress,A beard that comes from the sides of the head through the chin and around the neck. [Technology not included.]
TRUE,Cosmetic,wardrobe_head_anime,Head,Anime,wardrobe_head_anime.name,wardrobe_head_anime.desc,Uncommon,mcc:island_cosmetics.hair.anime,40,75, $ 1.50 ,---,barberShop,FALSE,FALSE,TRUE,Complete,Embrace your inner sayyin. [I found the protagonist.]
TRUE,Cosmetic,wardrobe_hair_bangs,Head,Bangs,wardrobe_hair_bangs.name,wardrobe_hair_bangs.desc,Uncommon,mcc:island_cosmetics.hair.bangs,40,75, $ 1.50 ,---,barberShop,FALSE,FALSE,TRUE,In Progress,Long hair goth girl haircut that covers the forehead. [Why are we still here? Just to suffer?]
TRUE,Cosmetic,wardrobe_hair_barbarian,Head,Barbarian,wardrobe_hair_barbarian.name,wardrobe_hair_barbarian.desc,Rare,mcc:island_cosmetics.hair.barbarian,100,150, $ 3.00 ,---,barberShop,FALSE,FALSE,TRUE,In Progress,Long hair leading into two braids that rest over the shoulders. [YAAAAAARGH!]
TRUE,Cosmetic,wardrobe_hair_basic,Head,Basic,wardrobe_hair_basic.name,wardrobe_hair_basic.desc,Rare,mcc:island_cosmetics.hair.basic,100,150, $ 3.00 ,---,barberShop,FALSE,FALSE,TRUE,In Progress,[The hairstyle without the style.]
TRUE,Cosmetic,wardrobe_hair_beehive,Head,Beehive,wardrobe_hair_beehive.name,wardrobe_hair_beehive.desc,Epic,mcc:island_cosmetics.hair.beehive,225,300, $ 6.00 ,---,barberShop,FALSE,FALSE,TRUE,In Progress,The column haircut. [Preferred to reference as the B-52 Strategic Bomber cut]
TRUE,Cosmetic,wardrobe_hair_beetle,Head,Beetle,wardrobe_hair_beetle.name,wardrobe_hair_beetle.desc,Rare,mcc:island_cosmetics.hair.beetle,100,150, $ 3.00 ,---,barberShop,FALSE,FALSE,TRUE,In Progress,Iconic 60s bowlcut rocker trim. [Fear and Love.]
TRUE,Cosmetic,wardrobe_hair_bob,Head,Bob,wardrobe_hair_bob.name,wardrobe_hair_bob.desc,Uncommon,mcc:island_cosmetics.hair.bob,40,75, $ 1.50 ,---,barberShop,FALSE,FALSE,TRUE,In Progress,A short bob with bangs. [Also called the Robert.]
TRUE,Cosmetic,wardrobe_hair_braid,Head,Braid,wardrobe_hair_braid.name,wardrobe_hair_braid.desc,Common,mcc:island_cosmetics.hair.braid,25,50, $ 1.00 ,---,barberShop,FALSE,FALSE,TRUE,In Progress,Two long braids coil down the head and shoulders. [Bonding activity bonding.]
TRUE,Cosmetic,wardrobe_hair_bun,Head,Bun,wardrobe_hair_bun.name,wardrobe_hair_bun.desc,Common,mcc:island_cosmetics.hair.bun,25,50, $ 1.00 ,---,barberShop,FALSE,FALSE,TRUE,In Progress,A bun of hair on the back of your head. [Now i'm hungry.]
