Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Rarity,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
FALSE,Cosmetic,,Off-Hand,Salt,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Clear glass shaker with a silver cap. Filled with salt.
FALSE,Cosmetic,,Off-Hand,Pepper,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Clear glass shaker with a silver cap. Filled with pepper.
FALSE,Cosmetic,,Off-Hand,Baton,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Standard-issue police baton. Think Billy Club.
FALSE,Cosmetic,,Off-Hand,Banana,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,A giant banana in your hand.
FALSE,Cosmetic,,Off-Hand,Chew Toy,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Red plastic bone you might use to play fetch with a dog.
FALSE,Cosmetic,,Off-Hand,Wand,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Magic wand that mighe be used by a wizard (magic not included). Simple and wooden.
FALSE,Cosmetic,,Off-Hand,Cash,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,A stack of dollar bills held in your hand.
FALSE,Cosmetic,,Off-Hand,Rose,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,A single rose flower.
FALSE,Cosmetic,,Off-Hand,Empty Mug,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,A white coffee mug. It has no contents.
FALSE,Cosmetic,,Off-Hand,Almost Fancy Cane,,,Common,,250,50, $ 1.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Basically a stick with a slight curve.
FALSE,Cosmetic,,Off-Hand,Bouquet,,,Uncommon,,375,75, $ 1.50 ,---,accessoryStore,TRUE,TRUE,FALSE,None,A collection of flowers including roses.
FALSE,Cosmetic,,Off-Hand,Megaphone,,,Uncommon,,375,75, $ 1.50 ,---,accessoryStore,TRUE,TRUE,FALSE,None,A white megaphone with a red back and outline.
FALSE,Cosmetic,,Off-Hand,Preppy Flag,,,Uncommon,,375,75, $ 1.50 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Small flag with 'MCC' written on it.
FALSE,Cosmetic,,Off-Hand,Detonator,,,Uncommon,,375,75, $ 1.50 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Cylindrical detonator with a red button on the top. Think 'Killer Queen' from Jojo's.
FALSE,Cosmetic,,Off-Hand,Magician's Wand,,,Uncommon,,375,75, $ 1.50 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Black and white wand as used by stage magicians.
FALSE,Cosmetic,,Off-Hand,Cleaver,,,Uncommon,,375,75, $ 1.50 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Butcher's Cleaver as used by a butcher to carve meat.
FALSE,Cosmetic,,Off-Hand,Fancy Cane,,,Uncommon,,375,75, $ 1.50 ,---,accessoryStore,TRUE,TRUE,FALSE,None,"Nice, polished wood cane with an elegant curve. Traditional old man cane."
FALSE,Cosmetic,,Off-Hand,Arrows in the Arm,,,Uncommon,,375,75, $ 1.50 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Your arm is a pincushion of arrows!
FALSE,Cosmetic,,Off-Hand,Fancier Cane,,,Rare,,975,150, $ 3.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,"Cane with a nice, non-rounded handle."
FALSE,Cosmetic,,Off-Hand,Coffee,,,Rare,,975,150, $ 3.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,White mug filled with brown coffee. Steam occasionally wafts up from the cup.
FALSE,Cosmetic,,Off-Hand,Crab Claw,,,Rare,,975,150, $ 3.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Giant Crab claw replaces your off-hand. It covers your hand entirely.
FALSE,Cosmetic,,Off-Hand,Bear Paw,,,Rare,,975,150, $ 3.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Stick your hand in a giant bear's paw. The paw fits over your whole hand like a glove.
FALSE,Cosmetic,,Off-Hand,Money Bag,,,Rare,,975,150, $ 3.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Hold a sack of cash with a dollar sign emblazoned on the side. It hangs under your grip.
FALSE,Cosmetic,,Off-Hand,Enderman Plush,,,Rare,,975,150, $ 3.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Little enderman plushie.
FALSE,Cosmetic,,Off-Hand,Die,,,Rare,,975,150, $ 3.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Giant six-sided die held in hand. Rotaes randomly when first equipped to show a different number.
FALSE,Cosmetic,,Off-Hand,Offhand Crown,,,Epic,,"2,250",300, $ 6.00 ,---,accessoryStore,TRUE,TRUE,FALSE,None,Hold a shiny crown in your off-hand.
