Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Rarity,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
FALSE,Cosmetic,,Pet,Frog,,,Rare,,"2,600",400, $ 8.00 ,---,animalStore,TRUE,TRUE,FALSE,None,Green frog that hops as it moves.
FALSE,Cosmetic,,Pet,Raccoon,,,Rare,,"2,600",400, $ 8.00 ,---,animalStore,TRUE,TRUE,FALSE,None,Raccoon that walks on all-fours but stands upright when stationary.
FALSE,Cosmetic,,Pet,Pigeon,,,Rare,,"2,600",400, $ 8.00 ,---,animalStore,TRUE,TRUE,FALSE,None,Pigeon that walks (rather than flies) behind the player.
FALSE,Cosmetic,,Pet,Hamster,,,Rare,,"2,600",400, $ 8.00 ,---,animalStore,TRUE,TRUE,FALSE,None,Orange hamster than runs behind the player. Maybe put him in a ball?
FALSE,Cosmetic,,Pet,Baby Walrus,,,Rare,,"2,600",400, $ 8.00 ,---,animalStore,TRUE,TRUE,FALSE,None,A blue walrus with whiskers but no tusks.
FALSE,Cosmetic,,Pet,Lobster,,,Rare,,"2,600",400, $ 8.00 ,---,animalStore,TRUE,TRUE,FALSE,None,A red lobster that skitters along the ground.
FALSE,Cosmetic,,Pet,Platypus,,,Rare,,"2,600",400, $ 8.00 ,---,animalStore,TRUE,TRUE,FALSE,None,A semi-aquatic egg-laying mammal. Neither action nor hat included.
FALSE,Cosmetic,,Pet,Wind-Up Robot,,,Epic,,"6,000",800, $ 16.00 ,---,animalStore,TRUE,TRUE,FALSE,In Progress,A waddling robot with a little clockwork gear spinning on it's back.
FALSE,Cosmetic,,Pet,Happy Balloon,,,Epic,,"6,000",800, $ 16.00 ,---,animalStore,TRUE,TRUE,FALSE,In Progress,A baloon with a yellow smiley face painted on it.
FALSE,Cosmetic,,Pet,Doge,,,Epic,,"6,000",800, $ 16.00 ,---,animalStore,TRUE,TRUE,FALSE,None,Such Pet. Much meme. Many barks. Wow.
FALSE,Cosmetic,,Pet,Kate,,,Epic,,"6,000",800, $ 16.00 ,---,animalStore,TRUE,TRUE,FALSE,None,A meow version of doge.
FALSE,Cosmetic,,Pet,Squidcopter,,,Epic,,"6,000",800, $ 16.00 ,---,animalStore,TRUE,TRUE,FALSE,None,A squid spinning it's tentacles in order to fly like a helicopter.
