Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Rarity,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
FALSE,Cosmetic,,Trail,Stink Lines,,,Uncommon,,750,150, $ 3.00 ,---,particleStore,TRUE,TRUE,FALSE,None,Small green/yellow lines hover slightly above your character when stationary.
FALSE,Cosmetic,,Trail,Lord of the Flies,,,Uncommon,,750,150, $ 3.00 ,---,particleStore,TRUE,TRUE,FALSE,None,Motes of black flies are left in your wake. They slowly disperse.
FALSE,Cosmetic,,Trail,Rainbow,,,Uncommon,,750,150, $ 3.00 ,---,particleStore,TRUE,TRUE,FALSE,None,Multicolored light goes in your wake.
TRUE,Cosmetic,trail_pixie_dust,Trail,Pixie Dust,trail_pixie_dust.name,trail_pixie_dust.desc,Uncommon,,750,150, $ 3.00 ,---,particleStore,TRUE,TRUE,FALSE,Complete,Pink puffs of dragon breath trail behind you
TRUE,Cosmetic,trail_smoke_cloud,Trail,Smoke Cloud,trail_smoke_cloud.name,trail_smoke_cloud.desc,Rare,,"1,950",300, $ 6.00 ,---,particleStore,TRUE,TRUE,FALSE,Complete,Small puffs of grey smoke sporatically follow your character when in motion.
TRUE,Cosmetic,trail_ember,Trail,Ember,trail_ember.name,trail_ember.desc,Rare,,"1,950",300, $ 6.00 ,---,particleStore,TRUE,TRUE,FALSE,Complete,Red-grey ash trails behind you.
TRUE,Cosmetic,trail_sparkle,Trail,Sparkle,trail_sparkle.name,trail_sparkle.desc,Epic,,"4,500",600, $ 12.00 ,---,particleStore,TRUE,TRUE,FALSE,Complete,Small white sparks float from above your character to the ground around them. Remains in-place and around your character regardless of movement.
TRUE,Cosmetic,trail_shredding_notes,Trail,Shredding Notes,trail_shredding_notes.name,trail_shredding_notes.desc,Epic,,"4,500",600, $ 12.00 ,---,particleStore,TRUE,TRUE,FALSE,Complete,"Whenever you move, rock-n-roll style notes float behind your character and animate briefly. They also float in circles around your character."
FALSE,Cosmetic,,Trail,Mastermind,,,Epic,,"4,500",600, $ 12.00 ,---,particleStore,TRUE,TRUE,FALSE,In Progress,"Floating text keeps appearing around the player with maths equations such as 1+1=, E=MC2 and 3.14159"
FALSE,Cosmetic,,Trail,Speedster,,,Legendary,,"12,000","1,000", $ 20.00 ,---,particleStore,TRUE,TRUE,FALSE,None,"Whenever you move, a transparent copy of you is left behind for 1 second. This makes you look like you're moving super fast!"
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
