Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Use Type,Place Type,Stack,Rarity,Set,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
TRUE,Furniture,mcc:furniture.bed.floor_mattress,Bed,Floor Mattress,,,Lying,Floor,None,Common,,,,,  ,---,furnitureTestStore,FALSE,FALSE,TRUE,In Progress,A rickety mattress with fluff and springs sticking out of it.
FALSE,Furniture,,Bed,Sleeping Bag,,,Lying,Floor,None,Common,,,,,  ,---,,FALSE,FALSE,TRUE,In Progress,A shaky bunk with wooden legs.
FALSE,Furniture,,Bed,Single Bed,,,Lying,Floor,None,Common,,,,,,---,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Bed,Single Oak Bed,,,Lying,Floor,None,Common,,,,,  ,---,,FALSE,FALSE,TRUE,In Progress,An empty bed panel. No mattress.
FALSE,Furniture,,Bed,Single Pipe Bed,,,Lying,Floor,None,Common,,,,,,---,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Bed,Single Panel Bed,,,Lying,Floor,None,Common,,,,,,---,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Bed,Double Bed,,,Lying,Floor,None,Uncommon,,,,,,---,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Bed,Double Oak Bed,,,Lying,Floor,None,Uncommon,,,,,,---,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Bed,Double Pipe Bed,,,Lying,Floor,None,Uncommon,,,,,,---,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Bed,Double Panel Bed,,,Lying,Floor,None,Uncommon,,,,,  ,---,,FALSE,FALSE,TRUE,In Progress,Standard bed. Nothing special. But not too shabby.
FALSE,Furniture,,Bed,King Bed,,,Lying,Floor,None,Rare,,,,,,---,,FALSE,FALSE,TRUE,In Progress,A nice-looking king-sized bed.
FALSE,Furniture,,Bed,Oak King Bed,,,Lying,Floor,None,Rare,,,,,,---,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Bed,Bunk Bed,,,Lying,Floor,None,Rare,,,,,,---,,FALSE,FALSE,FALSE,,
