Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Use Type,Place Type,Stack,Rarity,Set,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
FALSE,Furniture,,Door,,,,Toggle,Floor,None,Rare,,,,,  ,---,,FALSE,FALSE,TRUE,None,Clear but slightly blue-tinted shower cubicle. Rectangular. Door can be opened to enter the cubicle.
,,,,Oak Door,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,,,Birch Door,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,,,Spruce Door,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,,,Panelled Door,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,,,Flush Door,,,,,,,,,,, $ 15.00 ,,,FALSE,FALSE,FALSE,,
,,,,Glass Door,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,,,Double,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,,,Double Glass Door,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,,,Closet Doors,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,1x2,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,2x2,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,2x3,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,regular,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,pocket,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
,,garage,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
FALSE,,,,,,,,,,,,,,,  ,,,FALSE,FALSE,FALSE,,
