Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Use Type,Place Type,Stack,Rarity,Dye-able?,Set,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
,Furniture,,Prop,Wooden Tub,,,Seat,Floor,None,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,Wooden tub like this: https://www.google.com/url?sa=i&url=https%3A%2F%2Fshop.rhtubs.com%2Fteak-oval-tub-p%2F4x3x3tkoval.htm&psig=AOvVaw0Gll_olt0Y1RNDJvfsrfm2&ust=1624635725826000&source=images&cd=vfe&ved=0CAoQjRxqFwoTCLDZiu3NsPECFQAAAAAdAAAAABAD
,Furniture,,Prop,Standing Lamp,,,Toggle,Floor,This on Top,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,Standing lamp with a semicircular lampshade. Can be turned on / off.
,Furniture,,Prop,Towel Rack,,,None,Floor,None,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,Empty wall rack meant for towels. Can place 1 item on it.
,Furniture,,Prop,Small Hanging Plant,,,None,Ceiling,None,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,Potted plant suspended from rope.
,Furniture,,Prop,Rectangular Mirror,,,None,Floor,None,Common,,,,250,50, $ 1.00 ,---,,TRUE,TRUE,,None,"Large, Rectangular Mirror"
,Furniture,,Prop,Piece of Paper,,,None,Floor/Surface,This on Top,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,A single sheet of paper.
,Furniture,,Prop,Pot of Pens,,,None,Floor/Surface,This on Top,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,Wire cup full of various colors of pens.
,Furniture,,Prop,Pile of Clothes,,,None,Floor/Surface,This on Top,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,"Small collection of shirts, pants, and socks."
,Furniture,,Prop,Tall Vase,,,None,Floor/Surface,This on Top,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,Ovular base taller than wide. Toggle puts flowers in it.
,Furniture,,Prop,Small Vase,,,Toggle,Floor/Surface,This on Top,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,Round vase with an opening in the top. Toggle puts flowers in it.
,Furniture,,Prop,Table Lamp,,,Toggle,Floor/Surface,This on Top,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,A table lamp that can toggle on / off. Shade is rectangular in shape.
,Furniture,,Prop,Desk Lamp,,,Toggle,Floor/Surface,This on Top,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,A table lamp that can toggle on / off. Shade is conical in shape.
,Furniture,,Prop,Potted Rubber Plant,,,None,Floor/Surface,This on Top,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,Small plant in a clay pot.
,Furniture,,Prop,Potted Monstera,,,None,Floor/Surface,This on Top,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,Growing plant in a pot. Maybe some flowers.
,Furniture,,Prop,Basic Bathroom Sink,,,Toggle,Floor/Surface,None,Common,,,,250,50, $ 1.00 ,---,,,,TRUE,None,Freestanding sink.
,Furniture,,Prop,Noxcrew Games Console,,,None,Floor/Surface,This on Top,Common,,,,250,50, $ 1.00 ,---,,TRUE,TRUE,,None,An N64-like gaming device with the Noxcrew logo on it.
,Furniture,,Prop,Shower Mat,,,None,Floor/Surface,None,Common,,,,250,50, $ 1.00 ,---,,TRUE,TRUE,,None,Fuzzy white mat placeable on the floor.
,Furniture,,Prop,Vintage Standing Lamp,,,Toggle,Floor,This on Top,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,"Standing lamp with a fancy, conical lampshade. Can be turned on / off."
,Furniture,,Prop,Tall Paper Standing Lamp,,,Toggle,Floor,This on Top,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,Lamp where rectangular paper stretches from bottom to top on all sides. Can be turned on / off.
,Furniture,,Prop,Bathtub,,,Seat,Floor,None,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,Clear white bathtub.
,Furniture,,Prop,Coat Rack,,,None,Floor,None,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,A wooden coat rack.
,Furniture,,Prop,Hanging Plant,,,None,Ceiling,None,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,Collection of leaves and vines suspended from rope.
,Furniture,,Prop,Basic Kitchen Sink,,,Toggle,Floor,None,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,Sink with two separate sections and drains.
,Furniture,,Prop,Standard Fridge,,,Toggle,Floor,On Top of This,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,A plain white refrigerator. Can be opened and closed to reveal some food inside!
,Furniture,,Prop,Basic Toilet,,,Seat,Floor,On Top of This,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,"Plain white toilet with the seat down. When activated, it opens and flushes."
,Furniture,,Prop,Fancy Table Lamp,,,Toggle,Floor/Surface,This on Top,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,Diamond-shaped table lamp that can toggle on / off. Shade is like a rhombus in shape.
,Furniture,,Prop,Floral Vase,,,Toggle,Floor/Surface,This on Top,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,White vase with a floral pattern. Toggle puts flowers in it.
,Furniture,,Prop,Alarm Clock,,,Toggle,Floor/Surface,This on Top,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,An analog clock with two bells. Interacting with the clock causes it to start or stop ringing.
,Furniture,,Prop,PC Tower,,,None,Floor/Surface,This on Top,Uncommon,,,,625,125, $ 2.50 ,---,,,,TRUE,None,"Standard PC Tower. Nothing fancy, and a little old."
,Furniture,,Prop,Large Hanging Plant,,,None,Ceiling,None,Rare,,,,"1,950",300, $ 6.00 ,---,,TRUE,TRUE,,None,Massive cordion of flowers and leaves hanging from ropes.
,Furniture,,Prop,Fancy Coat Rack,,,None,Floor,None,Rare,,,,"1,950",300, $ 6.00 ,---,,,,TRUE,None,A fancy-looking coat rack with ornate arms.
,Furniture,,Prop,Full Mirror Dressing Table,,,None,Floor,On Top of This,Rare,,,,"1,950",300, $ 6.00 ,---,,,,TRUE,None,A dressing table with a full rectangular mirror for the player to look at themselves.
,Furniture,,Prop,Rock Fireplace,,,Toggle,Floor,None,Rare,,,,"1,950",300, $ 6.00 ,---,,,,TRUE,None,Stone / Rock fireplace. Fire can be toggled on / off.
,Furniture,,Prop,Dishwasher,,,Toggle,Floor,On Top of This,Rare,,,,"1,950",300, $ 6.00 ,---,,TRUE,TRUE,,None,"Grey dishwasher. Can be toggled open / closed. When open, it reveals several plates and dishes inside."
,Furniture,,Prop,Pile of Firewood,,,Toggle,Floor,This on Top,Rare,,,,"1,950",300, $ 6.00 ,---,,TRUE,TRUE,,None,A pile of wood. Interacting with it sets it on fire (like a campfire).
,Furniture,,Prop,Washing Machine,,,Toggle,Floor,On Top of This,Rare,,,,"1,950",300, $ 6.00 ,---,,TRUE,TRUE,,None,"Medium white mashing machine. When toggled, it will rock back and forth as though it's turned on and full of clothes."
,Furniture,,Prop,Rotary Phone,,,Animation,Floor/Surface,This on Top,Rare,,,,"1,950",300, $ 6.00 ,---,,,,TRUE,None,"A pale green rotary phone. When used, the rotary winds up briefly."
,Furniture,,Prop,Clothing Iron,,,Animation,Floor/Surface,On Top of This,Rare,,,,"1,950",300, $ 6.00 ,---,,,,TRUE,None,"A grey-black clothing iron. When used, flips down and moves back and forth across its surface, briefly ironing it."
,Furniture,,Prop,PC Setup,,,Toggle,Floor/Surface,This on Top,Rare,,,,"1,950",300, $ 6.00 ,---,,,,TRUE,None,"A monitor, keyboard, and mouse together. Old-fashioned and nothing special. Can be toggled on to show 'Pong' playing on the computer."
,Furniture,,Prop,Small Flatscreen TV,,,Toggle,Floor/Surface,This on Top,Rare,,,,"1,950",300, $ 6.00 ,---,,,,TRUE,None,"Small tube TV. Can be toggled on / off. When on, displays static."
,Furniture,,Prop,Gamer PC Tower,,,None,Floor/Surface,This on Top,Rare,,,,"1,950",300, $ 6.00 ,---,,TRUE,TRUE,,None,Chromatic and very nice-looking PC Tower.
,Furniture,,Prop,Cookie Jar,,,Toggle,Floor/Surface,This on Top,Rare,,,,"1,950",300, $ 6.00 ,---,,TRUE,TRUE,,None,A clear jar filled with delicious-looking cookies. Toggle opens or closes the jar.
,Furniture,,Prop,Desk Fan,,,Toggle,Floor/Surface,This on Top,Rare,,,,"1,950",300, $ 6.00 ,---,,TRUE,TRUE,,None,"A desk fan. Can be toggled on / off. When on, it moves left-to-right."
,Furniture,,Prop,Oscillating Fan,,,Toggle,Floor/Surface,None,Rare,,,,"1,950",300, $ 6.00 ,---,,TRUE,TRUE,,None,"Large fan that stands upright on atall base. When toggled on, the fan moves left-to-right."
,Furniture,,Prop,Ceiling Fan,,,Toggle,Ceiling,None,Epic,,,,"4,500",600, $ 12.00 ,---,,,,TRUE,None,"Large, multi-armed fan. Toggles slow, fast, and off."
,Furniture,,Prop,Woodstove,,,Toggle,Floor,None,Epic,,,,"4,500",600, $ 12.00 ,---,,,,TRUE,None,"Black woodstove with a chute. Can be opened, lit, closed, opened, and extinguished."
,Furniture,,Prop,Miniature Decision Dome,,,Toggle,Floor,None,Epic,,,,"4,500",600, $ 12.00 ,---,,TRUE,TRUE,,None,Solid Gold toilet. Lid can be opened or closed.
,Furniture,,Prop,Large Flat Screen TV,,,Toggle,Floor/Surface,None,Epic,,,,"4,500",600, $ 12.00 ,---,,,,TRUE,None,"Large tv. When toggled, can be turned on, flip through several channels (animated gifs), and turned off."
,Furniture,,Prop,Large Potted Cactus,,,Toggle,Floor/Surface,This on Top,Epic,,,,"4,500",600, $ 12.00 ,---,,TRUE,TRUE,,None,Normal-looking vase. Toggle causes it to shatter into pieces or put itself back together.
,Furniture,,Prop,Gamer PC Setup,,,Toggle,Floor/Surface,This on Top,Epic,,,,"4,500",600, $ 12.00 ,---,,TRUE,TRUE,,None,Chromatic keyboard and mouse with a nice PC. Can be toggled on to show Minecraft playing on the computer.
,Furniture,,Prop,Large Book Stack,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Small Book Stack,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Open Book,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Stack of Paper,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Potted Lilac Plant,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Potted Geranium,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Old Television,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Basic Fridge,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Oven Vent,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Basic Oven,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Digital Alarm Clock,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Mascot Statue,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Mascot Figurine,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Ceiling Lamp,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,Hanging Bulb,,,,,,,,,,,,  ,,,,,,,
,Furniture,,Prop,String Lights,,,,,,,,,,,,  ,,,,,,,
TRUE,Furniture,mcc:island_furniture.music.amplifier,Prop,Amplifier,mcc:island_furniture.music.amplifier.name,mcc:island_furniture.music.amplifier.desc,None,Floor/Surface,,Common,No,Music,,250,50, $ 1.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.bongos,Prop,Bongos,mcc:island_furniture.music.bongos.name,mcc:island_furniture.music.bongos.desc,Animation,Floor/Surface,,Uncommon,No,Music,,625,125, $ 2.50 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.classical_acoustic_guitar,Prop,Classical Acoustic Guitar,mcc:island_furniture.music.classical_acoustic_guitar.name,mcc:island_furniture.music.classical_acoustic_guitar.desc,Animation,Floor/Surface,,Rare,No,Music,,"1,950",300, $ 6.00 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.dj_turntable,Prop,DJ Turntable,mcc:island_furniture.music.dj_turntable.name,mcc:island_furniture.music.dj_turntable.desc,Toggle,Floor/Surface,,Uncommon,No,Music,,625,125, $ 2.50 ,,musicStore,,,TRUE,Complete,
TRUE,Furniture,mcc:island_furniture.music.golden_record,Prop,Golden Record,mcc:island_furniture.music.golden_record.name,mcc:island_furniture.music.golden_record.desc,None,Wall,,Epic,No,Music,,"4,500",600, $ 12.00 ,,musicStore,,,TRUE,Complete,
