Active,System,Item ID,Category,Item Name,Name Translation,Description Translation,Use Type,Place Type,Stack,Rarity,Set,Icon ID,Coin Price,Premium Price,Dollar Price,Override,Source,In Daily,In Weekly,In Static,Status,Description
FALSE,Furniture,,,Oak Bedside Table,,,,,,Common,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Surface,Bedside Table,,,None,Floor,On Top of This,Common,,,,,  ,---,,FALSE,FALSE,TRUE,None,"A small, 1 drawer bedside table."
FALSE,Furniture,,Surface,Small Table,,,None,Floor,On Top of This,Common,,,,,  ,---,,FALSE,FALSE,TRUE,None,Wooden coffee table with some damage including a broken panel.
FALSE,Furniture,,,Small Oak Table,,,,,,Common,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,,Basic Countertop Corner,,,,,,Common,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,,Basic Countertop,,,,,,Common,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Surface,Oak Shelf,,,None,Wall,On Top of This,Common,,,,,  ,---,,FALSE,FALSE,TRUE,None,Floating shelf that can hold 1 item.
FALSE,Furniture,,Surface,Floating Shelf,,,None,Wall,On Top of This,Uncommon,,,,,  ,---,,FALSE,FALSE,TRUE,None,Long floating shelf that can hold 2-3 items.
FALSE,Furniture,,,Oak Desk,,,,,,Uncommon,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Surface,Basic Desk,,,None,Wall,On Top of This,Uncommon,,,,,  ,---,,TRUE,TRUE,FALSE,None,Floating Shelf with support brackets. Can hold 1-2 items.
FALSE,Furniture,,,Large Table,,,,,,Uncommon,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,,Large Oak Table,,,,,,Uncommon,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,,Basic Dining Table,,,,,,Uncommon,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,,Oak Dining Table,,,,,,Uncommon,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Surface,Glass Coffee Table,,,None,Floor,On Top of This,Uncommon,,,,,  ,---,,TRUE,TRUE,FALSE,None,Small wooden table with glass panels on the surface.
FALSE,Furniture,,,Oak Wardrobe,,,,,,Uncommon,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,,Basic Wardrobe,,,,,,Uncommon,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,,Oak Dressing Table,,,,,,Uncommon,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Surface,Basic Dressing Table,,,None,Floor,On Top of This,Uncommon,,,,,  ,---,,FALSE,FALSE,TRUE,None,Solid wood coffee table
FALSE,Furniture,,,Oak Display Cabinet,,,,,,Rare,,,,,,,,FALSE,FALSE,FALSE,,
FALSE,Furniture,,Surface,Display Cabinet,,,None,Wall,On Top of This,Rare,,,,,  ,---,,FALSE,FALSE,TRUE,None,Wooden display case. A prop can be put on display here.
FALSE,Furniture,,Surface,Garage Shelf,,,None,Wall,On Top of This,Rare,,,,,  ,---,,FALSE,FALSE,TRUE,None,Large garage shelf that can hold many items.
FALSE,Furniture,,,Ornate Patio Table,,,,,,Rare,,,,,,,,FALSE,FALSE,FALSE,,
