Active,Category,Item Name,Rarity,Colorable,Default Color,Sources,Item ID,Icon ID,Editor Icon ID,Wardrobe Icon ID,Base Cosmetic,Price (Crafting),Status,Description
FALSE,Accessory Accessory Accessory Accessory Accessory Accessory Accessory Accessory Accessory Accessory Accessory Accessory Accessory Accessory    Accessory Accessory   Accessory     Accessory Accessory Accessory Accessory Accessory Accessory Accessory Accessory Accessory                                                     ,Briefcase (Cash-Filled) Burger (Beefy) Comically Large Spoon (Fruit Hoops) Robot Arm (Rusted) Coffee Mug (On a Plate) Money Bag (Loaded) Robot Arm (Overgrown) Skateboard (Champ) Skateboard (Splotchy) Skateboard (Spotty) Viking Shield (Battle Worn) Viking Shield (Dragon) Viking Shield (Knotwork) Faction Flag (Improved)    Gauntlet (Golden) Gauntlet (Gamer)   Paintbrush (Dripping)     Gauntlet (Dark Matter) Gauntlet (Elemental) Lantern (Soul) Poseidon's Trident (Aquatic) Poseidon's Trident (Seaweed) Poseidon's Trident (Tide) Robot Arm (Evolved) Spell Shield (Square) Spell Shield (Triangular) Beanie (Bear) Beanie (Frog) Beanie (Strawberry) Boombox (Retro) Boombox (Supercharged) Bucket Hat (Cat) Bucket Hat (Frog) Butterfly Net (Catch) Camera (Flash) Camera (Polaroid) Camera (Video) Chainsaw Hand (Brute) Classy Cane (Diamond) Diving Spear (Bait) Drill Arm (GDL) Drill Arm (Space) Drill Arm (Steampunk) Egg Yolk (Dripping) Fire Fist (Blue) Fire Fist (Magma) Frying Pan (Sunny Side Up!) Metal Arm (Steampunk) Paper Umbrella (Floral) Paper Umbrella (Full Bloom) Paper Umbrella (Rings) Rose (Withered) Skull Staff (Haunted) Star Shield (Pristine) Sun Hat (Black) Sun Hat (Striped) Surfboard (Floral) Surfboard (Palms) Surfboard (Tribal) Tribal Staff (Black Magic) Umbrella (Beach) Umbrella (Botanist) Umbrella (Flower) Umbrella (Frog) Umbrella (Gothic) Umbrella (Leaf) Umbrella (Rainbow) Umbrella (Sunflower) Wizard Staff (Flame) Wizard Staff (Ice) Wizard Staff (Void) Spatula (Supersized) Wrench (Pipe) Wrench (Maxi-Pipe) Pirate Hook (Harpoon) Baseball Bat (Nails) Dumbbell (2 Weights) Dumbbell (3 Weights) Microphone (Mounted),Uncommon Uncommon Uncommon Uncommon Rare Rare Rare Rare Rare Rare Rare Rare Rare Rare    Epic Epic   Epic     Legendary Legendary Legendary Legendary Legendary Legendary Legendary Legendary Legendary                                                     ,                                                                                       ,                                                                                       ,                                                                                       ,             accessory_faction_flag_improved              accessory_variant_gauntlet_elemental                                                            ,             mcc:island_cosmetics.accessory_faction.flag_improved              mcc:island_cosmetics.accessory_variant.gauntlet_elemental                                                            ,                                                                                       ,                                                                                       ,accessory_briefcase accessory_burger accessory_comically_large_spoon accessory_robot_arm accessory_coffee_mug accessory_money_bag accessory_robot_arm accessory_skateboard accessory_skateboard accessory_skateboard accessory_viking_shield accessory_viking_shield accessory_viking_shield accessory_faction_flag_improved    accessory_gauntlet accessory_gauntlet   accessory_paintbrush     accessory_gauntlet accessory_gauntlet accessory_lantern accessory_poseidons_trident accessory_poseidons_trident accessory_poseidons_trident accessory_robot_arm accessory_spell_shield accessory_spell_shield                                                     ,             component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0              component_bland_thread: 0; component_chicken_glue: 5; component_clouded_glass: 0; component_leather_scrap: 2; component_rubber_band: 1; component_finde_string: 0; component_shiny_rock: 5; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 3; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 3; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 1; component_glistening_pearl: 0; component_perfected_alloy: 1; component_pristine_chitin: 0                                                            ,None None None None None None None None None None None None None Complete None None None None None None None None None None None None None Complete None None None None None None None                                                     ,"Cash pours out the side of the briefcase          The shield is slightly worn, and several arrows are embedded Shield with a two headed dragon design Shield with the traditional norse knotwork design               [Aw snap!]  The trident features emissive aquatic elements The trident is covered in seaweed and miscellanious underwater items The trident is circled by a current of water  The spell consists of squares instead of circles The spell takes on a very triangular form    The boombox has sound waves, and beats 80s triangle shapes, as well as having a retro aesthetic A dark boombox now has holographic sound waves, with the chosen color, and a audio visualiser   The net is surrounded by animated butterflies The camera flashes every few seconds) Polaroid Camera A classic shoulder mounted video camera with screen A much larger, more menacing chainsaw The cane is now diamond tipped A fish is speared with cartoony X eyes The drill looks similar to a GDL drill The drill has laser pointers and looks outer-space-like The drill has copper accents, gears and a steampunk exhaust  The fire fist is now blue!  Frying pan with a fried egg  A floral pattern atop the umbrella A  different floral pattern plus cherry flowers raining from the sids A ringed pattern atop the umbrella   The shield is shiny & glimmers                       [You got the power!] [Ok, now you're just showing off.] [I want to break free!]"
TRUE,Accessory,Ice Cream (Triple Scoop),Rare,TRUE,#ff92d2,,accessory_variant_ice_cream_triple_scoop,mcc:island_cosmetics.accessory_variant.ice_cream_triple_scoop,,,accessory_ice_cream,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
TRUE,Accessory,Beam Sword (Dual),Epic,TRUE,#fa2819,,accessory_variant_beam_sword_dual,mcc:island_cosmetics.accessory_variant.beam_sword_dual,,,accessory_beam_sword,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Hat,Goggles (Steampunk),Common,,,,wardrobe_hat_variant_goggles_steampunk,mcc:island_cosmetics.hat_variant.goggles_steampunk,,,wardrobe_hat_goggles,,In Progress,[Imagine the will it took to create these.]
TRUE,Hat,Party Hat (Striped),Common,TRUE,#4BBBF2,,wardrobe_hat_variant_party_hat_striped,mcc:island_cosmetics.hat_variant.party_hat_striped,,,wardrobe_hat_party_hat,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[The best time to wear a striped hat is all the time!]
FALSE,Hat,Sprouted (Bloom),Common,,,,wardrobe_hat_variant_sprouted_boom,mcc:island_cosmetics.hat_variant.sprouted_bloom,,,wardrobe_hat_sprouted,,In Progress,[Got plenty of sunlight.]
FALSE,Hat,Disguise (Bigger),Uncommon,,,,wardrobe_hat_variant_disguise_bigger,mcc:island_cosmetics.hat_variant.disguise_bigger,,,wardrobe_hat_disguise,,In Progress,"[That's a nice stache, stranger.]"
TRUE,Hat,Headphones (Cat Ear),Uncommon,TRUE,#FF80A6,,wardrobe_hat_cat_ear_headphones,mcc:island_cosmetics.hat.cat_ear_headphones,,,wardrobe_hat_headphones,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 2; component_rubber_band: 2; component_finde_string: 1; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 2; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[Purrfect starter headgear for streaming!]
TRUE,Hat,Headphones (Gaming),Uncommon,TRUE,#4BBBF2,,wardrobe_hat_gaming_headphones,mcc:island_cosmetics.hat.gaming_headphones,,,wardrobe_hat_headphones,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 2; component_rubber_band: 2; component_finde_string: 1; component_shiny_rock: 0; component_smoking_sulfur: 2; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[Wearing these will *not* make you better at the game.]
FALSE,Hat,Magician's Hat (Cards),Uncommon,,,,wardrobe_hat_variant_magicians_hat_cards,mcc:island_cosmetics.hat_variant.magicians_hat_cards,,,wardrobe_hat_magicians_hat,,In Progress,[Pick a card. One of three.]
