Item Name,Category,Rarity,Coin Price,Premium Price,Override,Dollar Price,Store(s),In Daily,In Weekly,In Static,Asset Created,Asset ID,Code Created,Cosmetic ID,Reviewed,Complete,Active,Description,Tooltip ID
Storm Cloud,Aura,Uncommon,750,200,---,$ 4.00 ,particleStore,TRUE,TRUE,FALSE,In Progress,,No,Storm Cloud,No,No,FALSE,A White cloud on the top of the player with a lightning blot coming out. Rain particles fall from the cloud on the back as well.,
Armor of Darkness,Aura,Uncommon,750,200,---,$ 4.00 ,particleStore,TRUE,TRUE,FALSE,In Progress,,No,Armor of Darkness,No,No,FALSE,Black and grey shadows surround the player and dance around like an aura. Similar shadows faintly trail behind the player when moving.,
MCC Coin,Aura,Uncommon,750,200,---,$ 4.00 ,particleStore,TRUE,TRUE,FALSE,Yes,,In Progress,MCC Coin,No,No,FALSE,"Occasionally, MCC Coins float around the player and wink in-and-out of existence.",
Angry!,Augment,Uncommon,750,150,---,$ 3.00 ,particleStore,TRUE,TRUE,FALSE,Yes,,In Progress,Angry!,No,No,FALSE,"Every few seconds, smoke billows out of the player's ears, and their head increases in size slightly.",
Chicken,Aura,Rare,"1,95",400,---,$ 8.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Chicken,No,No,FALSE,Feathers occasionally flutter around the player.,
Dizzy,Aura,Rare,"1,95",400,---,$ 8.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Dizzy,No,No,FALSE,Spirals and spell particles gently float over your head. Maybe you're drunk.,
Cuckoo,Aura,Epic,"3,375",800,---,$ 16.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Cuckoo,No,No,FALSE,A yellow bird circles around the player's head.,
Tornado,Aura,Epic,"3,375",800,---,$ 16.00 ,particleStore,TRUE,TRUE,FALSE,Yes,,In Progress,Tornado,No,No,FALSE,A spiral of air surrounds the player and lifts nearby blocks of earth into its vortex.,
Angel Wings,Aura,Epic,"3,375",800,---,$ 16.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Angel Wings,No,No,FALSE,White Particles in the shape of Angle Wings on the back of the player,
Devil Wings,Aura,Epic,"3,375",800,---,$ 16.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Devil Wings,No,No,FALSE,Red Particles in the shape of Devil Wings on the back of the player,
